streaming_log,mos,content,encoding_profile,device,abr,trace_id
001.csv,0.762,AirShow,H264,hdtv,BB,0
002.csv,0.426,AirShow,H264,hdtv,BB,1
003.csv,0.563,AirShow,H264,hdtv,BB,2
004.csv,0.868,AirShow,H264,hdtv,BB,3
005.csv,-0.359,AirShow,H264,hdtv,BB,4
006.csv,1.385,AirShow,H264,hdtv,BB,5
007.csv,-0.078,AirShow,H264,hdtv,BB,6
008.csv,1.289,AirShow,H264,hdtv,Oracle,0
009.csv,1.034,AirShow,H264,hdtv,Oracle,1
010.csv,0.774,AirShow,H264,hdtv,Oracle,2
011.csv,1.132,AirShow,H264,hdtv,Oracle,3
012.csv,-0.374,AirShow,H264,hdtv,Oracle,4
013.csv,1.191,AirShow,H264,hdtv,Oracle,5
014.csv,-0.226,AirShow,H264,hdtv,Oracle,6
015.csv,1.184,AirShow,H264,hdtv,RB,0
016.csv,1.130,AirShow,H264,hdtv,RB,1
017.csv,0.649,AirShow,H264,hdtv,RB,2
018.csv,1.227,AirShow,H264,hdtv,RB,3
019.csv,-0.457,AirShow,H264,hdtv,RB,4
020.csv,1.610,AirShow,H264,hdtv,RB,5
021.csv,-0.356,AirShow,H264,hdtv,RB,6
022.csv,0.750,AirShow,H264,hdtv,VMAFViterbi,0
023.csv,0.450,AirShow,H264,hdtv,VMAFViterbi,1
024.csv,0.662,AirShow,H264,hdtv,VMAFViterbi,2
025.csv,0.088,AirShow,H264,hdtv,VMAFViterbi,3
026.csv,-0.478,AirShow,H264,hdtv,VMAFViterbi,4
027.csv,1.409,AirShow,H264,hdtv,VMAFViterbi,5
028.csv,-0.191,AirShow,H264,hdtv,VMAFViterbi,6
029.csv,0.993,AsianFusion,H264,hdtv,BB,0
030.csv,1.092,AsianFusion,H264,hdtv,BB,1
031.csv,0.584,AsianFusion,H264,hdtv,BB,2
032.csv,0.749,AsianFusion,H264,hdtv,BB,3
033.csv,-0.513,AsianFusion,H264,hdtv,BB,4
034.csv,1.167,AsianFusion,H264,hdtv,BB,5
035.csv,-0.081,AsianFusion,H264,hdtv,BB,6
036.csv,1.373,AsianFusion,H264,hdtv,Oracle,0
037.csv,1.059,AsianFusion,H264,hdtv,Oracle,1
038.csv,0.667,AsianFusion,H264,hdtv,Oracle,2
039.csv,1.207,AsianFusion,H264,hdtv,Oracle,3
040.csv,-0.111,AsianFusion,H264,hdtv,Oracle,4
041.csv,1.396,AsianFusion,H264,hdtv,Oracle,5
042.csv,-0.198,AsianFusion,H264,hdtv,Oracle,6
043.csv,1.364,AsianFusion,H264,hdtv,RB,0
044.csv,0.982,AsianFusion,H264,hdtv,RB,1
045.csv,0.590,AsianFusion,H264,hdtv,RB,2
046.csv,0.892,AsianFusion,H264,hdtv,RB,3
047.csv,-0.094,AsianFusion,H264,hdtv,RB,4
048.csv,1.562,AsianFusion,H264,hdtv,RB,5
049.csv,-0.460,AsianFusion,H264,hdtv,RB,6
050.csv,0.990,AsianFusion,H264,hdtv,VMAFViterbi,0
051.csv,1.085,AsianFusion,H264,hdtv,VMAFViterbi,1
052.csv,0.735,AsianFusion,H264,hdtv,VMAFViterbi,2
053.csv,1.025,AsianFusion,H264,hdtv,VMAFViterbi,3
054.csv,-0.328,AsianFusion,H264,hdtv,VMAFViterbi,4
055.csv,1.354,AsianFusion,H264,hdtv,VMAFViterbi,5
056.csv,-0.215,AsianFusion,H264,hdtv,VMAFViterbi,6
057.csv,0.354,Chimera1102347,H264,hdtv,BB,0
058.csv,0.126,Chimera1102347,H264,hdtv,BB,1
059.csv,-0.039,Chimera1102347,H264,hdtv,BB,2
060.csv,0.337,Chimera1102347,H264,hdtv,BB,3
061.csv,-0.683,Chimera1102347,H264,hdtv,BB,4
062.csv,1.123,Chimera1102347,H264,hdtv,BB,5
063.csv,-0.622,Chimera1102347,H264,hdtv,BB,6
064.csv,0.557,Chimera1102347,H264,hdtv,Oracle,0
065.csv,0.516,Chimera1102347,H264,hdtv,Oracle,1
066.csv,0.261,Chimera1102347,H264,hdtv,Oracle,2
