representation_index,rebuffering_duration,video_bitrate,chunk_duration,qp,framerate,width,height,is_best,psnr,ssim,msssim,strred,vmaf,ssimplus
0,0.000,193.316,1.793,37.000,23.976,640.000,360.000,0,27.454,0.884,0.887,336.509,33.895,21.884
4,0.000,438.978,1.793,31.000,23.976,640.000,360.000,0,32.473,0.930,0.936,189.772,60.437,35.209
7,0.000,639.854,1.793,25.000,23.976,640.000,360.000,0,35.128,0.984,0.981,22.236,87.041,58.395
6,0.000,625.055,1.668,31.000,23.976,1280.000,720.000,0,35.343,0.988,0.985,17.344,84.346,66.675
8,0.000,1259.941,1.877,34.000,23.976,1920.000,1080.000,0,32.492,0.982,0.972,14.873,76.952,65.911
8,0.000,1460.168,1.877,34.000,23.976,1920.000,1080.000,0,32.224,0.980,0.971,20.008,76.680,63.956
6,1.752,977.906,1.877,34.000,23.976,1280.000,720.000,0,29.847,0.958,0.947,49.569,63.840,21.689
0,0.000,260.569,1.793,40.000,23.976,960.000,540.000,0,25.672,0.872,0.863,227.436,32.399,38.628
3,0.000,266.768,1.919,31.000,23.976,640.000,360.000,0,32.413,0.961,0.958,70.105,64.975,45.609
4,0.000,397.856,1.919,28.000,23.976,640.000,360.000,0,33.091,0.970,0.965,40.994,67.705,43.304
4,0.000,367.213,1.919,28.000,23.976,640.000,360.000,0,32.932,0.970,0.966,39.139,67.390,51.217
6,0.000,576.884,1.919,25.000,23.976,640.000,360.000,0,36.804,0.978,0.979,46.975,78.232,64.152
9,0.000,1884.853,1.919,25.000,23.976,960.000,540.000,0,36.196,0.981,0.978,28.680,87.526,75.174
10,0.000,2110.849,1.919,31.000,23.976,1920.000,1080.000,1,35.097,0.990,0.984,12.637,95.887,73.130
10,6.006,2211.333,1.710,31.000,23.976,1920.000,1080.000,1,34.734,0.989,0.983,13.967,93.841,0.000
