streaming_log,mos,content,encoding_profile,device
06a6_1.csv,65.45454546,Animation,H264,hdtv
06a6_3.csv,68.57142858,Animation,H264,hdtv
06a6_4.csv,76.0,Animation,H264,hdtv
06a6_5.csv,68.88888888,Animation,H264,hdtv
06a6_phase_2_1.csv,60.0,Animation,H264,hdtv
06a6_phase_2_2.csv,86.66666665999999,Animation,H264,hdtv
06a6_phase_2_3.csv,72.0,Animation,H264,hdtv
06a6_phase_2_4.csv,68.57142858,Animation,H264,hdtv
08e1_1.csv,71.42857142,Sports,H264,hdtv
08e1_2.csv,62.85714286,Sports,H264,hdtv
08e1_3.csv,68.0,Sports,H264,hdtv
08e1_4.csv,60.0,Sports,H264,hdtv
08e1_phase_2_1.csv,68.0,Sports,H264,hdtv
08e1_phase_2_2.csv,64.0,Sports,H264,hdtv
08e1_phase_2_3.csv,72.0,Sports,H264,hdtv
08e1_phase_2_4.csv,71.42857142,Sports,H264,hdtv
1a6d_2.csv,85.71428572,Animation,H264,hdtv
1a6d_3.csv,80.0,Animation,H264,hdtv
1a6d_4.csv,74.54545454,Animation,H264,hdtv
1a6d_5.csv,72.0,Animation,H264,hdtv
1a6d_phase_2_1.csv,85.71428572,Animation,H264,hdtv
1a6d_phase_2_2.csv,84.0,Animation,H264,hdtv
1a6d_phase_2_3.csv,76.0,Animation,H264,hdtv
1a6d_phase_2_4.csv,92.0,Animation,H264,hdtv
2abf_2.csv,68.57142858,Animation,H264,hdtv
2abf_3.csv,61.81818182,Animation,H264,hdtv
2abf_4.csv,64.0,Animation,H264,hdtv
2abf_5.csv,68.57142858,Animation,H264,hdtv
2abf_phase_2_1.csv,68.0,Animation,H264,hdtv
2abf_phase_2_2.csv,80.0,Animation,H264,hdtv
2abf_phase_2_3.csv,100.0,Animation,H264,hdtv
2abf_phase_2_4.csv,76.0,Animation,H264,hdtv
2c06_2.csv,64.0,Sports,H264,hdtv
2c06_3.csv,65.71428572,Sports,H264,hdtv
2c06_4.csv,71.42857142,Sports,H264,hdtv
2c06_5.csv,80.0,Sports,H264,hdtv
2c06_phase_2_1.csv,86.66666665999999,Sports,H264,hdtv
2c06_phase_2_2.csv,60.0,Sports,H264,hdtv
2c06_phase_2_3.csv,72.0,Sports,H264,hdtv
2c06_phase_2_4.csv,68.0,Sports,H264,hdtv
4b69_1.csv,60.0,Sports,H264,hdtv
4b69_2.csv,62.5,Sports,H264,hdtv
4b69_3.csv,68.88888888,Sports,H264,hdtv
4b69_5.csv,65.71428572,Sports,H264,hdtv
4b69_phase_2_1.csv,80.0,Sports,H264,hdtv
4b69_phase_2_2.csv,80.0,Sports,H264,hdtv
4b69_phase_2_3.csv,74.28571428,Sports,H264,hdtv
4b69_phase_2_4.csv,93.33333334000001,Sports,H264,hdtv
6403_1.csv,66.66666666,Gaming,H264,hdtv
6403_2.csv,77.14285714,Gaming,H264,hdtv
6403_3.csv,60.0,Gaming,H264,hdtv
6403_4.csv,57.14285714,Gaming,H264,hdtv
6403_phase_2_1.csv,74.28571428,Gaming,H264,hdtv
6403_phase_2_2.csv,78.0,Gaming,H264,hdtv
6403_phase_2_3.csv,66.66666666,Gaming,H264,hdtv
6403_phase_2_4.csv,68.0,Gaming,H264,hdtv
6658_1.csv,66.66666666,Gaming,H264,hdtv
6658_3.csv,63.636363640000006,Gaming,H264,hdtv
6658_4.csv,60.0,Gaming,H264,hdtv
6658_5.csv,76.0,Gaming,H264,hdtv
6658_phase_2_1.csv,62.85714286,Gaming,H264,hdtv
6658_phase_2_2.csv,60.0,Gaming,H264,hdtv
6658_phase_2_3.csv,68.0,Gaming,H264,hdtv
6658_phase_2_4.csv,100.0,Gaming,H264,hdtv
