streaming_log,mos,content,encoding_profile,device
trace0-6658_1.csv,66.66666666,Gaming,H264,720p
trace0-6658_3.csv,63.636363640000006,Gaming,H264,720p
trace0-6658_4.csv,60.0,Gaming,H264,720p
trace0-6658_5.csv,76.0,Gaming,H264,720p
trace0-6658_phase_2_1.csv,62.85714286,Gaming,H264,720p
trace0-6658_phase_2_2.csv,60.0,Gaming,H264,720p
trace0-6658_phase_2_3.csv,68.0,Gaming,H264,720p
trace0-6658_phase_2_4.csv,100.0,Gaming,H264,720p
trace1-6658_1.csv,66.66666666,Gaming,H264,720p
trace1-6658_3.csv,63.636363640000006,Gaming,H264,720p
trace1-6658_4.csv,60.0,Gaming,H264,720p
trace1-6658_5.csv,76.0,Gaming,H264,720p
trace1-6658_phase_2_1.csv,62.85714286,Gaming,H264,720p
trace1-6658_phase_2_2.csv,60.0,Gaming,H264,720p
trace1-6658_phase_2_3.csv,68.0,Gaming,H264,720p
trace1-6658_phase_2_4.csv,100.0,Gaming,H264,720p
trace2-6658_1.csv,66.66666666,Gaming,H264,720p
trace2-6658_3.csv,63.636363640000006,Gaming,H264,720p
trace2-6658_4.csv,60.0,Gaming,H264,720p
trace2-6658_5.csv,76.0,Gaming,H264,720p
trace2-6658_phase_2_1.csv,62.85714286,Gaming,H264,720p
trace2-6658_phase_2_2.csv,60.0,Gaming,H264,720p
trace2-6658_phase_2_3.csv,68.0,Gaming,H264,720p
trace2-6658_phase_2_4.csv,100.0,Gaming,H264,720p
trace3-6658_1.csv,66.66666666,Gaming,H264,720p
trace3-6658_3.csv,63.636363640000006,Gaming,H264,720p
trace3-6658_4.csv,60.0,Gaming,H264,720p
trace3-6658_5.csv,76.0,Gaming,H264,720p
trace3-6658_phase_2_1.csv,62.85714286,Gaming,H264,720p
trace3-6658_phase_2_2.csv,60.0,Gaming,H264,720p
trace3-6658_phase_2_3.csv,68.0,Gaming,H264,720p
trace3-6658_phase_2_4.csv,100.0,Gaming,H264,720p
trace4-6658_1.csv,66.66666666,Gaming,H264,720p
trace4-6658_3.csv,63.636363640000006,Gaming,H264,720p
trace4-6658_4.csv,60.0,Gaming,H264,720p
trace4-6658_5.csv,76.0,Gaming,H264,720p
trace4-6658_phase_2_1.csv,62.85714286,Gaming,H264,720p
trace4-6658_phase_2_2.csv,60.0,Gaming,H264,720p
trace4-6658_phase_2_3.csv,68.0,Gaming,H264,720p
trace4-6658_phase_2_4.csv,100.0,Gaming,H264,720p
trace5-6658_1.csv,66.66666666,Gaming,H264,720p
trace5-6658_3.csv,63.636363640000006,Gaming,H264,720p
trace5-6658_4.csv,60.0,Gaming,H264,720p
trace5-6658_5.csv,76.0,Gaming,H264,720p
trace5-6658_phase_2_1.csv,62.85714286,Gaming,H264,720p
trace5-6658_phase_2_2.csv,60.0,Gaming,H264,720p
trace5-6658_phase_2_3.csv,68.0,Gaming,H264,720p
trace5-6658_phase_2_4.csv,100.0,Gaming,H264,720p
trace6-6658_1.csv,66.66666666,Gaming,H264,720p
trace6-6658_3.csv,63.636363640000006,Gaming,H264,720p
trace6-6658_4.csv,60.0,Gaming,H264,720p
trace6-6658_5.csv,76.0,Gaming,H264,720p
trace6-6658_phase_2_1.csv,62.85714286,Gaming,H264,720p
trace6-6658_phase_2_2.csv,60.0,Gaming,H264,720p
trace6-6658_phase_2_3.csv,68.0,Gaming,H264,720p
trace6-6658_phase_2_4.csv,100.0,Gaming,H264,720p
trace7-6658_1.csv,66.66666666,Gaming,H264,720p
trace7-6658_3.csv,63.636363640000006,Gaming,H264,720p
trace7-6658_4.csv,60.0,Gaming,H264,720p
trace7-6658_5.csv,76.0,Gaming,H264,720p
trace7-6658_phase_2_1.csv,62.85714286,Gaming,H264,720p
trace7-6658_phase_2_2.csv,60.0,Gaming,H264,720p
trace7-6658_phase_2_3.csv,68.0,Gaming,H264,720p
trace7-6658_phase_2_4.csv,100.0,Gaming,H264,720p
trace8-6658_1.csv,66.66666666,Gaming,H264,720p
trace8-6658_3.csv,63.636363640000006,Gaming,H264,720p
trace8-6658_4.csv,60.0,Gaming,H264,720p
trace8-6658_5.csv,76.0,Gaming,H264,720p
trace8-6658_phase_2_1.csv,62.85714286,Gaming,H264,720p
trace8-6658_phase_2_2.csv,60.0,Gaming,H264,720p
trace8-6658_phase_2_3.csv,68.0,Gaming,H264,720p
trace8-6658_phase_2_4.csv,100.0,Gaming,H264,720p
trace9-6658_1.csv,66.66666666,Gaming,H264,720p
trace9-6658_3.csv,63.636363640000006,Gaming,H264,720p
trace9-6658_4.csv,60.0,Gaming,H264,720p
trace9-6658_5.csv,76.0,Gaming,H264,720p
trace9-6658_phase_2_1.csv,62.85714286,Gaming,H264,720p
trace9-6658_phase_2_2.csv,60.0,Gaming,H264,720p
trace9-6658_phase_2_3.csv,68.0,Gaming,H264,720p
trace9-6658_phase_2_4.csv,100.0,Gaming,H264,720p
