streaming_log,mos,content,encoding_profile,device
06a6_1.csv,60.0,Sports,H264,720p
06a6_3.csv,63.636363640000006,Gaming,H264,720p
06a6_4.csv,57.14285714,Gaming,H264,720p
06a6_5.csv,68.88888888,Animation,H264,720p
06a6_phase_2_1.csv,80.0,Sports,H264,720p
06a6_phase_2_2.csv,60.0,Sports,H264,720p
06a6_phase_2_3.csv,68.0,Gaming,H264,720p
06a6_phase_2_4.csv,68.0,Gaming,H264,720p
08e1_1.csv,60.0,Sports,H264,720p
08e1_2.csv,64.0,Sports,H264,720p
08e1_3.csv,63.636363640000006,Gaming,H264,720p
08e1_4.csv,57.14285714,Gaming,H264,720p
08e1_phase_2_1.csv,80.0,Sports,H264,720p
08e1_phase_2_2.csv,60.0,Sports,H264,720p
08e1_phase_2_3.csv,68.0,Gaming,H264,720p
08e1_phase_2_4.csv,68.0,Gaming,H264,720p
1a6d_2.csv,64.0,Sports,H264,720p
1a6d_3.csv,63.636363640000006,Gaming,H264,720p
1a6d_4.csv,57.14285714,Gaming,H264,720p
1a6d_5.csv,68.88888888,Animation,H264,720p
1a6d_phase_2_1.csv,80.0,Sports,H264,720p
1a6d_phase_2_2.csv,60.0,Sports,H264,720p
1a6d_phase_2_3.csv,68.0,Gaming,H264,720p
1a6d_phase_2_4.csv,68.0,Gaming,H264,720p
2abf_2.csv,64.0,Sports,H264,720p
2abf_3.csv,63.636363640000006,Gaming,H264,720p
2abf_4.csv,57.14285714,Gaming,H264,720p
2abf_5.csv,68.88888888,Animation,H264,720p
2abf_phase_2_1.csv,80.0,Sports,H264,720p
2abf_phase_2_2.csv,60.0,Sports,H264,720p
2abf_phase_2_3.csv,68.0,Gaming,H264,720p
2abf_phase_2_4.csv,68.0,Gaming,H264,720p
2c06_2.csv,64.0,Sports,H264,720p
2c06_3.csv,63.636363640000006,Gaming,H264,720p
2c06_4.csv,57.14285714,Gaming,H264,720p
2c06_5.csv,68.88888888,Animation,H264,720p
2c06_phase_2_1.csv,80.0,Sports,H264,720p
2c06_phase_2_2.csv,60.0,Sports,H264,720p
2c06_phase_2_3.csv,68.0,Gaming,H264,720p
2c06_phase_2_4.csv,68.0,Gaming,H264,720p
4b69_1.csv,60.0,Sports,H264,720p
4b69_2.csv,64.0,Sports,H264,720p
4b69_3.csv,63.636363640000006,Gaming,H264,720p
4b69_5.csv,68.88888888,Animation,H264,720p
4b69_phase_2_1.csv,80.0,Sports,H264,720p
4b69_phase_2_2.csv,60.0,Sports,H264,720p
4b69_phase_2_3.csv,68.0,Gaming,H264,720p
4b69_phase_2_4.csv,68.0,Gaming,H264,720p
6403_1.csv,60.0,Sports,H264,720p
6403_2.csv,64.0,Sports,H264,720p
6403_3.csv,63.636363640000006,Gaming,H264,720p
6403_4.csv,57.14285714,Gaming,H264,720p
6403_phase_2_1.csv,80.0,Sports,H264,720p
6403_phase_2_2.csv,60.0,Sports,H264,720p
6403_phase_2_3.csv,68.0,Gaming,H264,720p
6403_phase_2_4.csv,68.0,Gaming,H264,720p
6658_1.csv,60.0,Sports,H264,720p
6658_3.csv,63.636363640000006,Gaming,H264,720p
6658_4.csv,57.14285714,Gaming,H264,720p
6658_5.csv,68.88888888,Animation,H264,720p
6658_phase_2_1.csv,80.0,Sports,H264,720p
6658_phase_2_2.csv,60.0,Sports,H264,720p
6658_phase_2_3.csv,68.0,Gaming,H264,720p
6658_phase_2_4.csv,68.0,Gaming,H264,720p
