streaming_log,KSQI
001.csv,70.822
002.csv,69.858
003.csv,66.324
004.csv,72.097
005.csv,51.687
006.csv,79.592
007.csv,56.24
008.csv,82.102
009.csv,77.504
010.csv,73.38
011.csv,79.914
012.csv,57.172
013.csv,85.607
014.csv,59.941
015.csv,78.818
016.csv,77.272
017.csv,70.151
018.csv,77.602
019.csv,50.443
020.csv,83.362
021.csv,56.297
022.csv,78.829
023.csv,76.503
024.csv,70.885
025.csv,64.105
026.csv,54.205
027.csv,85.749
028.csv,59.672
029.csv,72.181
030.csv,71.481
031.csv,63.872
032.csv,67.967
033.csv,51.91
034.csv,74.8
035.csv,56.094
036.csv,79.342
037.csv,76.331
038.csv,70.784
039.csv,78.206
040.csv,56.453
041.csv,84.03
042.csv,59.958
043.csv,79.388
044.csv,74.425
045.csv,70.442
046.csv,73.118
047.csv,53.132
048.csv,83.371
049.csv,54.535
050.csv,77.12
051.csv,77.054
052.csv,68.476
053.csv,77.222
054.csv,55.41
055.csv,82.724
056.csv,59.598
057.csv,76.56
058.csv,72.352
059.csv,69.601
060.csv,74.898
061.csv,53.335
062.csv,82.29
063.csv,63.215
064.csv,83.437
065.csv,79.354
066.csv,76.047
067.csv,82.867
068.csv,60.63
069.csv,86.014
070.csv,65.39
071.csv,78.759
072.csv,78.93
073.csv,74.385
074.csv,79.526
075.csv,55.802
076.csv,85.464
077.csv,59.635
078.csv,82.073
079.csv,78.194
080.csv,74.895
081.csv,66.727
082.csv,58.675
083.csv,87.259
084.csv,65.037
085.csv,77.541
086.csv,69.301
087.csv,60.642
088.csv,69.03
089.csv,51.482
090.csv,80.586
091.csv,56.653
092.csv,86.17
093.csv,83.849
094.csv,79.647
095.csv,85.46
096.csv,64.512
097.csv,89.054
098.csv,70.786
099.csv,80.637
100.csv,82.415
101.csv,76.33
102.csv,81.231
103.csv,59.964
104.csv,87.717
105.csv,68.096
106.csv,83.732
107.csv,80.867
108.csv,78.481
109.csv,82.538
110.csv,62.731
111.csv,88.168
112.csv,71.012
113.csv,59.751
114.csv,60.544
115.csv,51.552
116.csv,56.606
117.csv,36.402
118.csv,65.618
119.csv,36.474
120.csv,68.784
121.csv,61.686
122.csv,55.724
123.csv,66.325
124.csv,41.773
125.csv,76.513
126.csv,41.083
127.csv,65.958
128.csv,61.623
129.csv,55.283
130.csv,64.666
131.csv,39.123
132.csv,76.488
133.csv,39.52
134.csv,66.96
135.csv,60.666
136.csv,54.61
137.csv,62.437
138.csv,38.428
139.csv,76.559
140.csv,40.536
141.csv,58.811
142.csv,54.098
143.csv,43.411
144.csv,52.211
145.csv,26.184
146.csv,64.205
147.csv,32.398
