streaming_log,KSQI
001.csv,0.435
002.csv,40.813
003.csv,51.431
004.csv,51.076
005.csv,52.64
006.csv,49.536
007.csv,54.155
008.csv,54.489
009.csv,36.086
010.csv,50.369
011.csv,29.788
012.csv,57.638
013.csv,52.894
014.csv,57.038
015.csv,49.087
016.csv,0.0
017.csv,55.653
018.csv,72.371
019.csv,74.471
020.csv,76.124
021.csv,54.316
022.csv,80.014
023.csv,79.713
024.csv,82.329
025.csv,82.881
026.csv,84.573
027.csv,65.289
028.csv,86.048
029.csv,87.307
030.csv,87.337
031.csv,61.251
032.csv,88.972
033.csv,89.139
034.csv,81.978
035.csv,81.978
036.csv,83.079
037.csv,88.313
038.csv,88.616
039.csv,89.104
040.csv,71.265
041.csv,64.313
042.csv,58.721
043.csv,59.897
044.csv,78.489
045.csv,78.463
046.csv,91.37
047.csv,68.986
048.csv,91.775
049.csv,47.125
050.csv,57.291
051.csv,50.761
052.csv,94.538
053.csv,54.611
054.csv,48.787
055.csv,49.064
056.csv,30.312
057.csv,95.197
058.csv,1.052
059.csv,23.051
060.csv,40.397
061.csv,45.188
062.csv,42.803
063.csv,45.716
064.csv,48.881
065.csv,49.161
066.csv,50.703
067.csv,34.229
068.csv,52.412
069.csv,53.902
070.csv,24.022
071.csv,47.902
072.csv,54.491
073.csv,0.085
074.csv,49.991
075.csv,74.432
076.csv,66.374
077.csv,69.539
078.csv,76.273
079.csv,77.948
080.csv,77.948
081.csv,78.756
082.csv,80.626
083.csv,78.893
084.csv,80.715
085.csv,81.216
086.csv,44.217
087.csv,84.44
088.csv,58.688
089.csv,51.697
090.csv,87.688
091.csv,35.822
092.csv,79.307
093.csv,71.068
094.csv,82.682
095.csv,86.004
096.csv,86.258
097.csv,86.363
098.csv,63.39
099.csv,49.779
100.csv,53.225
101.csv,55.474
102.csv,75.344
103.csv,58.947
104.csv,88.875
105.csv,78.552
106.csv,56.7
107.csv,78.893
108.csv,38.927
109.csv,34.382
110.csv,26.055
111.csv,60.11
112.csv,92.035
113.csv,40.865
114.csv,49.84
