streaming_log,KSQI
bba0-06a6_1.csv,11.433
bba0-06a6_3.csv,58.057
bba0-06a6_4.csv,69.384
bba0-06a6_5.csv,80.708
bba0-06a6_phase_2_1.csv,10.576
bba0-06a6_phase_2_2.csv,21.614
bba0-06a6_phase_2_3.csv,32.551
bba0-06a6_phase_2_4.csv,43.747
bba0-08e1_1.csv,15.714
bba0-08e1_2.csv,15.185
bba0-08e1_3.csv,22.708
bba0-08e1_4.csv,32.041
bba0-08e1_phase_2_1.csv,53.204
bba0-08e1_phase_2_2.csv,82.154
bba0-08e1_phase_2_3.csv,80.646
bba0-08e1_phase_2_4.csv,80.087
bba0-1a6d_2.csv,46.585
bba0-1a6d_3.csv,58.918
bba0-1a6d_4.csv,63.935
bba0-1a6d_5.csv,75.035
bba0-1a6d_phase_2_1.csv,85.927
bba0-1a6d_phase_2_2.csv,84.982
bba0-1a6d_phase_2_3.csv,84.627
bba0-1a6d_phase_2_4.csv,89.498
bba0-2abf_2.csv,50.411
bba0-2abf_3.csv,59.681
bba0-2abf_4.csv,68.859
bba0-2abf_5.csv,78.338
bba0-2abf_phase_2_1.csv,41.412
bba0-2abf_phase_2_2.csv,34.851
bba0-2abf_phase_2_3.csv,44.552
bba0-2abf_phase_2_4.csv,48.604
bba0-2c06_2.csv,53.365
bba0-2c06_3.csv,63.5
bba0-2c06_4.csv,75.109
bba0-2c06_5.csv,89.612
bba0-2c06_phase_2_1.csv,17.716
bba0-2c06_phase_2_2.csv,18.65
bba0-2c06_phase_2_3.csv,29.089
bba0-2c06_phase_2_4.csv,39.723
bba0-4b69_1.csv,8.991
bba0-4b69_2.csv,10.563
bba0-4b69_3.csv,20.858
bba0-4b69_5.csv,70.808
bba0-4b69_phase_2_1.csv,80.938
bba0-4b69_phase_2_2.csv,81.993
bba0-4b69_phase_2_3.csv,81.053
bba0-4b69_phase_2_4.csv,81.472
bba0-6403_1.csv,17.498
bba0-6403_2.csv,18.412
bba0-6403_3.csv,27.968
bba0-6403_4.csv,38.028
bba0-6403_phase_2_1.csv,87.853
bba0-6403_phase_2_2.csv,87.083
bba0-6403_phase_2_3.csv,88.017
bba0-6403_phase_2_4.csv,87.607
bba0-6658_1.csv,21.388
bba0-6658_3.csv,57.111
bba0-6658_4.csv,66.204
bba0-6658_5.csv,77.132
bba0-6658_phase_2_1.csv,18.673
bba0-6658_phase_2_2.csv,26.707
bba0-6658_phase_2_3.csv,36.425
bba0-6658_phase_2_4.csv,45.57
bba1-06a6_1.csv,11.433
bba1-06a6_3.csv,58.057
bba1-06a6_4.csv,69.384
bba1-06a6_5.csv,80.708
bba1-06a6_phase_2_1.csv,10.576
bba1-06a6_phase_2_2.csv,21.614
bba1-06a6_phase_2_3.csv,32.551
bba1-06a6_phase_2_4.csv,43.747
bba1-08e1_1.csv,15.714
bba1-08e1_2.csv,15.185
bba1-08e1_3.csv,22.708
bba1-08e1_4.csv,32.041
bba1-08e1_phase_2_1.csv,53.204
bba1-08e1_phase_2_2.csv,82.154
bba1-08e1_phase_2_3.csv,80.646
bba1-08e1_phase_2_4.csv,80.087
bba1-1a6d_2.csv,46.585
bba1-1a6d_3.csv,58.918
bba1-1a6d_4.csv,63.935
bba1-1a6d_5.csv,75.035
bba1-1a6d_phase_2_1.csv,85.927
bba1-1a6d_phase_2_2.csv,84.982
bba1-1a6d_phase_2_3.csv,84.627
bba1-1a6d_phase_2_4.csv,89.498
bba1-2abf_2.csv,50.411
bba1-2abf_3.csv,59.681
bba1-2abf_4.csv,68.859
bba1-2abf_5.csv,78.338
bba1-2abf_phase_2_1.csv,41.412
bba1-2abf_phase_2_2.csv,34.851
bba1-2abf_phase_2_3.csv,44.552
bba1-2abf_phase_2_4.csv,48.604
bba1-2c06_2.csv,53.365
bba1-2c06_3.csv,63.5
bba1-2c06_4.csv,75.109
bba1-2c06_5.csv,89.612
bba1-2c06_phase_2_1.csv,17.716
bba1-2c06_phase_2_2.csv,18.65
bba1-2c06_phase_2_3.csv,29.089
bba1-2c06_phase_2_4.csv,39.723
bba1-4b69_1.csv,8.991
bba1-4b69_2.csv,10.563
bba1-4b69_3.csv,20.858
bba1-4b69_5.csv,70.808
bba1-4b69_phase_2_1.csv,80.938
bba1-4b69_phase_2_2.csv,81.993
bba1-4b69_phase_2_3.csv,81.053
bba1-4b69_phase_2_4.csv,81.472
bba1-6403_1.csv,17.498
