streaming_log,KSQI
pensieve0-06a6_1.csv,11.433
pensieve0-06a6_3.csv,58.057
pensieve0-06a6_4.csv,69.384
pensieve0-06a6_5.csv,80.708
pensieve0-06a6_phase_2_1.csv,10.576
pensieve0-06a6_phase_2_2.csv,21.614
pensieve0-06a6_phase_2_3.csv,32.551
pensieve0-06a6_phase_2_4.csv,43.747
pensieve0-08e1_1.csv,15.714
pensieve0-08e1_2.csv,15.185
pensieve0-08e1_3.csv,22.708
pensieve0-08e1_4.csv,32.041
pensieve0-08e1_phase_2_1.csv,53.204
pensieve0-08e1_phase_2_2.csv,82.154
pensieve0-08e1_phase_2_3.csv,80.646
pensieve0-08e1_phase_2_4.csv,80.087
pensieve0-1a6d_2.csv,38.537
pensieve0-1a6d_3.csv,50.87
pensieve0-1a6d_4.csv,55.887
pensieve0-1a6d_5.csv,66.988
pensieve0-1a6d_phase_2_1.csv,77.879
pensieve0-1a6d_phase_2_2.csv,76.935
pensieve0-1a6d_phase_2_3.csv,79.797
pensieve0-1a6d_phase_2_4.csv,81.451
pensieve0-2abf_2.csv,42.363
pensieve0-2abf_3.csv,51.634
pensieve0-2abf_4.csv,60.811
pensieve0-2abf_5.csv,70.29
pensieve0-2abf_phase_2_1.csv,34.963
pensieve0-2abf_phase_2_2.csv,28.402
pensieve0-2abf_phase_2_3.csv,38.103
pensieve0-2abf_phase_2_4.csv,45.233
pensieve0-2c06_2.csv,45.317
pensieve0-2c06_3.csv,55.452
pensieve0-2c06_4.csv,67.062
pensieve0-2c06_5.csv,81.564
pensieve0-2c06_phase_2_1.csv,15.176
pensieve0-2c06_phase_2_2.csv,16.11
pensieve0-2c06_phase_2_3.csv,26.549
pensieve0-2c06_phase_2_4.csv,36.351
pensieve0-4b69_1.csv,8.991
pensieve0-4b69_2.csv,10.563
pensieve0-4b69_3.csv,20.858
pensieve0-4b69_5.csv,70.808
pensieve0-4b69_phase_2_1.csv,80.938
pensieve0-4b69_phase_2_2.csv,81.993
pensieve0-4b69_phase_2_3.csv,81.053
pensieve0-4b69_phase_2_4.csv,81.472
pensieve0-6403_1.csv,17.498
pensieve0-6403_2.csv,18.412
pensieve0-6403_3.csv,27.968
pensieve0-6403_4.csv,38.028
pensieve0-6403_phase_2_1.csv,87.853
pensieve0-6403_phase_2_2.csv,87.083
pensieve0-6403_phase_2_3.csv,88.017
pensieve0-6403_phase_2_4.csv,87.607
pensieve0-6658_1.csv,21.388
pensieve0-6658_3.csv,57.111
pensieve0-6658_4.csv,66.204
pensieve0-6658_5.csv,77.132
pensieve0-6658_phase_2_1.csv,18.673
pensieve0-6658_phase_2_2.csv,26.707
pensieve0-6658_phase_2_3.csv,36.425
pensieve0-6658_phase_2_4.csv,45.57
pensieve1-06a6_1.csv,11.433
pensieve1-06a6_3.csv,58.057
pensieve1-06a6_4.csv,69.384
pensieve1-06a6_5.csv,80.708
pensieve1-06a6_phase_2_1.csv,10.576
pensieve1-06a6_phase_2_2.csv,21.614
pensieve1-06a6_phase_2_3.csv,32.551
pensieve1-06a6_phase_2_4.csv,43.747
pensieve1-08e1_1.csv,15.714
pensieve1-08e1_2.csv,15.185
pensieve1-08e1_3.csv,22.708
pensieve1-08e1_4.csv,32.041
pensieve1-08e1_phase_2_1.csv,53.204
pensieve1-08e1_phase_2_2.csv,82.154
pensieve1-08e1_phase_2_3.csv,80.646
pensieve1-08e1_phase_2_4.csv,80.087
pensieve1-1a6d_2.csv,46.585
pensieve1-1a6d_3.csv,58.918
pensieve1-1a6d_4.csv,63.935
pensieve1-1a6d_5.csv,75.035
pensieve1-1a6d_phase_2_1.csv,85.927
pensieve1-1a6d_phase_2_2.csv,84.982
pensieve1-1a6d_phase_2_3.csv,84.627
pensieve1-1a6d_phase_2_4.csv,89.498
pensieve1-2abf_2.csv,50.411
pensieve1-2abf_3.csv,59.681
pensieve1-2abf_4.csv,68.859
pensieve1-2abf_5.csv,78.338
pensieve1-2abf_phase_2_1.csv,41.412
pensieve1-2abf_phase_2_2.csv,34.851
pensieve1-2abf_phase_2_3.csv,44.552
pensieve1-2abf_phase_2_4.csv,48.604
pensieve1-2c06_2.csv,53.365
pensieve1-2c06_3.csv,63.5
pensieve1-2c06_4.csv,75.109
pensieve1-2c06_5.csv,89.612
pensieve1-2c06_phase_2_1.csv,17.716
pensieve1-2c06_phase_2_2.csv,18.65
pensieve1-2c06_phase_2_3.csv,29.089
pensieve1-2c06_phase_2_4.csv,39.723
pensieve1-4b69_1.csv,8.991
pensieve1-4b69_2.csv,10.563
