streaming_log,KSQI,SENSEI_KSQI,P1203,Bentaleb2016QoE
trace0-06a6_1.csv,9.469,4.284,-0.031,0.788
trace0-06a6_3.csv,54.776,2.059,-0.093,53.281
trace0-06a6_4.csv,66.013,2.809,-0.275,64.687
trace0-06a6_5.csv,72.66,0.0,-0.032,75.945
trace0-06a6_phase_2_1.csv,8.612,3.602,-0.071,5.688
trace0-06a6_phase_2_2.csv,19.65,6.936,-0.075,16.728
trace0-06a6_phase_2_3.csv,30.587,5.102,-0.079,27.656
trace0-06a6_phase_2_4.csv,41.783,4.674,-0.083,38.852
trace0-08e1_1.csv,6.442,2.93,0.167,-7.959
trace0-08e1_2.csv,5.73,1.082,0.022,-3.696
trace0-08e1_3.csv,9.763,0.661,0.04,4.712
trace0-08e1_4.csv,14.42,0.0,0.217,14.219
trace0-08e1_phase_2_1.csv,35.583,0.0,-0.046,33.931
trace0-08e1_phase_2_2.csv,64.532,0.0,-0.046,62.533
trace0-08e1_phase_2_3.csv,63.025,0.0,-0.046,61.209
trace0-08e1_phase_2_4.csv,62.465,0.0,-0.048,61.149
trace0-1a6d_2.csv,40.642,11.025,0.18,27.22
trace0-1a6d_3.csv,47.499,10.596,0.315,39.819
trace0-1a6d_4.csv,52.516,9.914,0.35,44.743
trace0-1a6d_5.csv,63.616,9.596,0.391,55.918
trace0-1a6d_phase_2_1.csv,74.508,11.311,0.167,64.523
trace0-1a6d_phase_2_2.csv,73.563,11.096,0.167,63.978
trace0-1a6d_phase_2_3.csv,73.208,10.096,0.142,63.59
trace0-1a6d_phase_2_4.csv,79.924,12.0,0.145,68.851
trace0-2abf_2.csv,41.027,6.372,0.306,32.578
trace0-2abf_3.csv,48.909,4.779,0.183,41.916
trace0-2abf_4.csv,54.069,4.673,0.21,51.035
trace0-2abf_5.csv,58.872,3.394,0.379,60.564
trace0-2abf_phase_2_1.csv,32.882,6.449,0.304,17.575
trace0-2abf_phase_2_2.csv,26.321,7.949,0.304,16.517
trace0-2abf_phase_2_3.csv,36.022,10.449,0.304,26.952
trace0-2abf_phase_2_4.csv,40.074,7.449,0.304,30.867
trace0-2c06_2.csv,45.411,6.425,0.573,26.982
trace0-2c06_3.csv,54.276,6.234,0.489,37.222
trace0-2c06_4.csv,60.319,6.043,0.509,49.216
trace0-2c06_5.csv,70.145,5.649,0.636,63.552
trace0-2c06_phase_2_1.csv,11.367,9.516,0.453,-14.337
trace0-2c06_phase_2_2.csv,12.301,6.182,0.558,-7.655
trace0-2c06_phase_2_3.csv,22.74,7.682,0.56,2.722
trace0-2c06_phase_2_4.csv,33.374,7.182,0.562,13.358
trace0-4b69_1.csv,3.001,0.0,-0.047,-8.13
trace0-4b69_2.csv,4.62,0.0,-0.311,-0.803
trace0-4b69_3.csv,9.439,0.0,-0.086,9.439
trace0-4b69_5.csv,59.389,0.0,0.03,59.473
trace0-4b69_phase_2_1.csv,69.519,0.0,-0.302,67.724
trace0-4b69_phase_2_2.csv,70.574,0.0,-0.302,68.872
