streaming_log,KSQI,SENSEI_KSQI,P1203,Bentaleb2016QoE
trace0-6658_1.csv,21.388,8.333,-0.373,16.52
trace0-6658_3.csv,57.111,7.955,-0.446,58.822
trace0-6658_4.csv,66.204,7.5,-0.413,67.978
trace0-6658_5.csv,77.132,9.5,-0.37,78.988
trace0-6658_phase_2_1.csv,18.673,7.857,-0.487,19.741
trace0-6658_phase_2_2.csv,26.707,7.5,-0.482,27.713
trace0-6658_phase_2_3.csv,36.425,8.5,-0.477,37.635
trace0-6658_phase_2_4.csv,45.57,12.5,-0.472,46.617
trace1-6658_1.csv,14.158,0.0,0.523,-17.462
trace1-6658_3.csv,47.554,0.0,0.539,24.841
trace1-6658_4.csv,48.795,0.0,0.647,33.997
trace1-6658_5.csv,59.771,0.0,0.576,45.006
trace1-6658_phase_2_1.csv,11.443,0.0,0.615,-14.24
trace1-6658_phase_2_2.csv,19.477,0.0,0.617,-6.268
trace1-6658_phase_2_3.csv,29.195,0.0,0.619,3.653
trace1-6658_phase_2_4.csv,38.34,2.578,0.622,12.635
trace2-6658_1.csv,17.461,2.943,0.26,-0.471
trace2-6658_3.csv,51.776,2.03,0.287,41.832
trace2-6658_4.csv,54.111,0.0,0.421,50.987
trace2-6658_5.csv,65.713,0.0,0.332,61.997
trace2-6658_phase_2_1.csv,14.746,2.467,0.381,2.751
trace2-6658_phase_2_2.csv,22.779,2.11,0.383,10.723
trace2-6658_phase_2_3.csv,32.497,3.11,0.386,20.644
trace2-6658_phase_2_4.csv,41.643,7.11,0.389,29.626
trace3-6658_1.csv,14.544,7.954,-0.095,3.438
trace3-6658_3.csv,45.693,7.321,-0.088,45.74
trace3-6658_4.csv,54.785,6.867,-0.033,54.896
trace3-6658_5.csv,65.713,8.867,0.028,65.906
trace3-6658_phase_2_1.csv,12.731,7.527,-0.353,6.66
trace3-6658_phase_2_2.csv,15.288,6.867,-0.162,14.631
trace3-6658_phase_2_3.csv,25.006,7.867,-0.15,24.553
trace3-6658_phase_2_4.csv,34.152,11.867,-0.138,33.535
trace4-6658_1.csv,9.328,0.0,0.56,-16.185
trace4-6658_3.csv,39.506,0.0,0.479,26.118
trace4-6658_4.csv,40.747,0.0,0.594,35.274
trace4-6658_5.csv,51.723,0.0,0.518,46.283
trace4-6658_phase_2_1.csv,8.072,0.0,0.459,-12.963
trace4-6658_phase_2_2.csv,11.429,0.0,0.562,-4.991
trace4-6658_phase_2_3.csv,21.147,0.0,0.565,4.93
trace4-6658_phase_2_4.csv,30.293,2.132,0.567,13.912
trace5-6658_1.csv,9.328,0.0,0.616,-20.094
trace5-6658_3.csv,39.506,0.0,0.636,22.209
trace5-6658_4.csv,40.747,0.0,0.739,31.365
trace5-6658_5.csv,51.723,0.0,0.669,42.374
trace5-6658_phase_2_1.csv,8.072,0.0,0.618,-16.872
trace5-6658_phase_2_2.csv,11.429,0.0,0.711,-8.9
trace5-6658_phase_2_3.csv,21.147,0.0,0.713,1.021
trace5-6658_phase_2_4.csv,30.293,2.132,0.715,10.003
trace6-6658_1.csv,19.424,7.587,-0.008,6.07
trace6-6658_3.csv,53.74,6.674,0.018,48.372
trace6-6658_4.csv,58.156,4.444,0.175,57.528
trace6-6658_5.csv,69.085,6.444,0.217,68.538
trace6-6658_phase_2_1.csv,16.71,7.111,0.11,9.292
trace6-6658_phase_2_2.csv,24.743,6.754,0.113,17.263
trace6-6658_phase_2_3.csv,34.461,7.754,0.117,27.185
trace6-6658_phase_2_4.csv,43.607,11.754,0.121,36.167
trace7-6658_1.csv,8.966,0.0,0.647,-24.003
trace7-6658_3.csv,38.706,0.0,0.666,18.3
trace7-6658_4.csv,40.747,0.0,0.765,27.456
trace7-6658_5.csv,51.723,0.0,0.698,38.465
trace7-6658_phase_2_1.csv,7.152,0.0,0.648,-20.781
trace7-6658_phase_2_2.csv,9.709,0.0,0.739,-12.809
trace7-6658_phase_2_3.csv,19.427,0.0,0.741,-2.888
trace7-6658_phase_2_4.csv,28.573,2.572,0.743,6.094
trace8-6658_1.csv,8.966,0.0,0.601,-20.094
trace8-6658_3.csv,38.706,0.0,0.621,22.209
trace8-6658_4.csv,40.747,0.0,0.725,31.365
trace8-6658_5.csv,51.723,0.0,0.655,42.374
trace8-6658_phase_2_1.csv,7.152,0.0,0.603,-16.872
trace8-6658_phase_2_2.csv,9.709,0.0,0.697,-8.9
trace8-6658_phase_2_3.csv,19.427,0.0,0.699,1.021
trace8-6658_phase_2_4.csv,28.573,2.572,0.702,10.003
trace9-6658_1.csv,19.424,7.587,-0.009,6.07
trace9-6658_3.csv,53.74,6.674,0.017,48.372
trace9-6658_4.csv,58.156,4.444,0.174,57.528
trace9-6658_5.csv,69.085,6.444,0.217,68.538
trace9-6658_phase_2_1.csv,16.71,7.111,0.11,9.292
trace9-6658_phase_2_2.csv,24.743,6.754,0.113,17.263
trace9-6658_phase_2_3.csv,34.461,7.754,0.116,27.185
trace9-6658_phase_2_4.csv,43.607,11.754,0.12,36.167
